Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
IT,WIPRO_NS,CNN,31.6842,5.6289,4.1305,0.0242,45.8807,1.6998
IT,WIPRO_NS,LSTM,25.2297,5.0229,3.7421,0.0216,47.1591,1.5858
IT,WIPRO_NS,HYBRID,24.7796,4.9779,3.5448,0.0214,47.5852,1.4928
