Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Chemicals,PIDILITIND_NS,CNN,626.5688,25.0314,19.1823,0.0179,49.0057,1.353
Chemicals,PIDILITIND_NS,LSTM,546.6921,23.3814,17.8935,0.0167,49.0057,1.2932
Chemicals,PIDILITIND_NS,HYBRID,480.7072,21.925,16.8532,0.0157,50.5682,1.2098
