Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Bank,ICICIBANK_NS,CNN,931.6672,30.5232,23.7685,0.0267,52.5568,1.9494
Bank,ICICIBANK_NS,LSTM,424.6571,20.6072,15.6313,0.018,48.2955,1.3678
Bank,ICICIBANK_NS,HYBRID,378.195,19.4472,14.3905,0.017,48.4375,1.2487
