Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Healthcare,DIVISLAB,LSTM,17467.2891,132.1639,95.0035,0.028,50.2841,2.0507
Healthcare,DIVISLAB,HYBRID,18070.5299,134.4267,95.7177,0.0285,49.2898,2.0349
Healthcare,MAXHEALTH,CNN,1456.0252,38.1579,29.8373,0.0444,49.858,3.294
Healthcare,MAXHEALTH,LSTM,896.1079,29.9351,22.5335,0.0348,51.1364,2.6999
Healthcare,MAXHEALTH,HYBRID,848.9166,29.1362,21.3109,0.0339,48.0114,2.4817
Healthcare,SUNPHARMA,CNN,2103.1998,45.8607,36.2078,0.0314,48.0114,2.3128
Healthcare,SUNPHARMA,LSTM,1079.4017,32.8542,23.8129,0.0225,50.0,1.6141
Healthcare,SUNPHARMA,HYBRID,912.571,30.2088,22.0383,0.0207,49.4318,1.4748
IT,HCLTECH,CNN,1628.846,40.359,30.8226,0.0287,51.5625,2.0878
IT,HCLTECH,LSTM,1202.4936,34.677,25.4552,0.0247,51.4205,1.825
IT,HCLTECH,HYBRID,1093.5207,33.0684,24.203,0.0235,52.983,1.7101
IT,INFY,CNN,1326.9109,36.4268,26.8178,0.0242,50.0,1.7332
IT,INFY,LSTM,1197.8566,34.6101,25.0989,0.023,51.9886,1.6997
IT,INFY,HYBRID,1110.6627,33.3266,24.238,0.0222,49.858,1.6168
IT,TCS,CNN,4989.575,70.6369,54.198,0.0201,50.5682,1.5315
IT,TCS,LSTM,4038.5616,63.5497,46.7964,0.0181,48.7216,1.3274
IT,TCS,HYBRID,3995.4074,63.2092,47.5142,0.018,49.4318,1.3416
IT,TECHM,CNN,1405.6102,37.4915,29.2519,0.0283,47.1591,2.1377
IT,TECHM,LSTM,987.7936,31.4292,23.698,0.0237,48.4375,1.8253
IT,TECHM,HYBRID,860.0847,29.3272,21.8768,0.0222,47.8693,1.6591
IT,WIPRO,CNN,31.6842,5.6289,4.1305,0.0242,45.8807,1.6998
IT,WIPRO,LSTM,25.2297,5.0229,3.7421,0.0216,47.1591,1.5858
IT,WIPRO,HYBRID,24.7796,4.9779,3.5448,0.0214,47.5852,1.4928
Media,NAZARA,CNN,82.739,9.0961,6.9557,0.0411,51.2784,3.0189
Media,NAZARA,LSTM,66.2892,8.1418,5.8298,0.0368,50.0,2.6758
Media,NAZARA,HYBRID,62.655,7.9155,5.4225,0.0358,50.5682,2.4377
Media,PVRINOX,CNN,1806.7369,42.5057,33.908,0.0311,53.5088,2.7502
Media,PVRINOX,LSTM,1271.1683,35.6534,27.0502,0.0261,52.0468,2.0338
Media,PVRINOX,HYBRID,1153.0907,33.9572,26.6889,0.0249,51.9006,2.0322
Media,SAREGAMA,CNN,259.1787,16.099,11.1397,0.0373,49.858,2.5182
Media,SAREGAMA,LSTM,249.8669,15.8072,10.8546,0.0366,49.0057,2.5027
Media,SAREGAMA,HYBRID,255.5455,15.9858,10.6596,0.037,48.0114,2.4303
Media,SUNTV,CNN,356.5807,18.8833,14.3655,0.0316,48.4375,2.3159
Media,SUNTV,LSTM,290.6489,17.0484,12.6114,0.0286,49.4318,2.1047
Media,SUNTV,HYBRID,255.9237,15.9976,11.7928,0.0268,48.8636,1.9488
Media,ZEEL,CNN,93.7207,9.6809,7.7259,0.0603,49.4318,5.5491
Media,ZEEL,LSTM,73.7871,8.5899,5.6289,0.0535,50.142,3.4984
Media,ZEEL,HYBRID,60.9126,7.8047,5.2369,0.0486,50.2841,3.3111
Metal,ADANIENT,CNN,17736.6252,133.1789,76.9575,0.0517,52.2727,3.1914
Metal,ADANIENT,LSTM,17784.7857,133.3596,79.2119,0.0518,53.4091,3.3503
Metal,ADANIENT,HYBRID,17700.3638,133.0427,72.7782,0.0516,52.8409,3.1029
Metal,HINDALCO,CNN,362.012,19.0266,14.9277,0.0324,49.7159,2.4332
Metal,HINDALCO,LSTM,254.4286,15.9508,11.6212,0.0271,49.4318,2.0241
Metal,HINDALCO,HYBRID,263.7686,16.241,11.9076,0.0276,49.4318,2.0205
Metal,JSWSTEEL,CNN,503.9536,22.4489,17.9207,0.0251,45.7386,1.9343
Metal,JSWSTEEL,LSTM,324.0707,18.002,13.8011,0.0201,47.017,1.5556
Metal,JSWSTEEL,HYBRID,326.6243,18.0727,13.8038,0.0202,46.4489,1.538
Metal,TATASTEEL,CNN,15.8833,3.9854,3.0211,0.0288,49.4318,2.1186
Metal,TATASTEEL,LSTM,12.3138,3.5091,2.5347,0.0254,49.5739,1.852
Metal,TATASTEEL,HYBRID,11.6221,3.4091,2.4918,0.0247,49.4318,1.8003
Metal,VEDL,CNN,256.7238,16.0226,12.0209,0.0477,49.2898,3.2257
Metal,VEDL,LSTM,141.0273,11.8755,8.271,0.0353,48.4375,2.4439
Metal,VEDL,HYBRID,132.8078,11.5242,7.9261,0.0343,47.7273,2.2586
OilGas,BPCL,CNN,111.9433,10.5803,7.9645,0.0423,52.2727,2.9208
OilGas,BPCL,LSTM,78.2492,8.8459,6.0727,0.0354,52.1307,2.3856
OilGas,BPCL,HYBRID,62.0035,7.8742,5.5025,0.0315,50.142,2.1357
OilGas,GAIL,CNN,43.1454,6.5685,4.6534,0.041,48.0114,2.6907
OilGas,GAIL,LSTM,31.1817,5.5841,4.0976,0.0348,48.8636,2.5035
OilGas,GAIL,HYBRID,26.2847,5.1269,3.7231,0.032,48.4375,2.2435
OilGas,IOC,CNN,26.3895,5.1371,3.5986,0.0408,51.5625,2.6019
OilGas,IOC,LSTM,18.975,4.356,2.9562,0.0346,49.2898,2.2708
OilGas,IOC,HYBRID,16.1453,4.0181,2.6808,0.0319,52.1307,2.0354
OilGas,ONGC,CNN,59.347,7.7037,5.3603,0.0358,48.5795,2.3338
OilGas,ONGC,LSTM,49.0529,7.0038,4.7665,0.0326,49.2898,2.1606
OilGas,ONGC,HYBRID,39.8432,6.3121,4.2792,0.0293,50.0,1.9024
OilGas,RELIANCE,CNN,695.3755,26.37,20.5237,0.0201,49.858,1.5352
OilGas,RELIANCE,LSTM,675.0404,25.9815,19.391,0.0198,50.8523,1.4991
OilGas,RELIANCE,HYBRID,561.9599,23.7057,17.714,0.018,51.1364,1.3587
Pharma,CIPLA,CNN,1320.242,36.3351,28.8747,0.0271,49.0057,2.1083
Pharma,CIPLA,LSTM,918.2203,30.3022,23.0446,0.0226,51.5625,1.7505
Pharma,CIPLA,HYBRID,811.9187,28.4942,21.9484,0.0212,49.7159,1.6635
Pharma,DIVISLAB,CNN,35673.0455,188.8731,143.4864,0.04,49.1477,2.8101
Pharma,DIVISLAB,LSTM,17467.2891,132.1639,95.0035,0.028,50.2841,2.0507
Pharma,DIVISLAB,HYBRID,18070.5299,134.4267,95.7177,0.0285,49.2898,2.0349
Pharma,DRREDDY,CNN,617.413,24.8478,19.926,0.0213,51.1364,1.6831
Pharma,DRREDDY,LSTM,495.4654,22.2591,17.0793,0.0191,51.2784,1.4854
Pharma,DRREDDY,HYBRID,446.7772,21.1371,16.2342,0.0181,53.9773,1.4001
Pharma,LUPIN,CNN,6028.4038,77.6428,61.3993,0.0489,50.5682,3.6686
Pharma,LUPIN,LSTM,2578.9441,50.7833,37.8731,0.032,50.142,2.3967
Pharma,LUPIN,HYBRID,2171.7022,46.6015,34.1447,0.0293,51.1364,2.1165
Pharma,SUNPHARMA,CNN,2103.1998,45.8607,36.2078,0.0314,48.0114,2.3128
Pharma,SUNPHARMA,LSTM,1079.4017,32.8542,23.8129,0.0225,50.0,1.6141
Pharma,SUNPHARMA,HYBRID,912.571,30.2088,22.0383,0.0207,49.4318,1.4748
