Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Auto,M&M_NS,CNN,13737.7104,117.208,89.0934,0.05,48.2955,3.3726
Auto,M&M_NS,LSTM,6578.668,81.109,59.7656,0.0346,47.7273,2.5113
Auto,M&M_NS,HYBRID,6208.4576,78.7938,56.6874,0.0336,47.1591,2.291
