Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
FMCG,NESTLEIND_NS,CNN,416.6992,20.4132,16.0711,0.0176,48.8636,1.3796
FMCG,NESTLEIND_NS,LSTM,397.997,19.9499,14.8488,0.0172,48.4375,1.2886
FMCG,NESTLEIND_NS,HYBRID,370.1926,19.2404,14.3121,0.0166,45.7386,1.2407
