Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Auto,TATAMOTORS_NS,CNN,1155.6968,33.9955,24.2489,0.0476,49.1477,3.5565
Auto,TATAMOTORS_NS,LSTM,863.0269,29.3773,19.5617,0.0411,51.5625,2.8612
Auto,TATAMOTORS_NS,HYBRID,738.0205,27.1665,17.6118,0.038,48.7216,2.5856
