Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
FMCG,BRITANNIA_NS,CNN,9890.6706,99.4519,75.7455,0.0197,53.5511,1.4594
FMCG,BRITANNIA_NS,LSTM,7942.9345,89.1231,66.268,0.0176,52.1307,1.3109
FMCG,BRITANNIA_NS,HYBRID,8015.0969,89.5271,65.7336,0.0177,52.2727,1.2897
