Date,cnn_forecast,lstm_forecast,hybrid_forecast
2025-12-03,12622.587553943764,13068.481381794198,13273.70849611091
2025-12-04,12325.518532452847,13009.548665695656,13251.260066891162
2025-12-05,12101.326536285087,12922.381376909807,13230.911838773849
2025-12-08,11891.734985679192,12821.391215897194,13213.303474084885
2025-12-09,11668.220777406435,12715.657716334648,13197.5703225721
