Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Chemicals,SOLARINDS_NS,CNN,290145.5404,538.6516,410.989,0.0596,51.5625,4.0369
Chemicals,SOLARINDS_NS,LSTM,151003.7739,388.592,267.682,0.043,50.4261,2.8647
Chemicals,SOLARINDS_NS,HYBRID,133993.0807,366.0507,244.7908,0.0405,52.2727,2.5576
