Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Metal,TATASTEEL_NS,CNN,15.8833,3.9854,3.0211,0.0288,49.4318,2.1186
Metal,TATASTEEL_NS,LSTM,12.3138,3.5091,2.5347,0.0254,49.5739,1.852
Metal,TATASTEEL_NS,HYBRID,11.6221,3.4091,2.4918,0.0247,49.4318,1.8003
