Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Auto,BAJAJ-AUTO_NS,CNN,114868.5763,338.9227,246.9589,0.0459,49.0057,3.0969
Auto,BAJAJ-AUTO_NS,LSTM,63172.111,251.3406,168.2742,0.034,49.5739,2.219
Auto,BAJAJ-AUTO_NS,HYBRID,52840.085,229.8697,152.3863,0.0311,49.4318,1.9752
