Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Healthcare,APOLLOHOSP_NS,CNN,27150.979,164.7755,131.5117,0.0267,47.4432,2.0508
Healthcare,APOLLOHOSP_NS,LSTM,18799.2106,137.1102,103.0337,0.0222,46.3068,1.6957
Healthcare,APOLLOHOSP_NS,HYBRID,16891.1092,129.9658,95.1115,0.0211,47.017,1.5435
