Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
OilGas,BPCL_NS,CNN,111.9433,10.5803,7.9645,0.0423,52.2727,2.9208
OilGas,BPCL_NS,LSTM,78.2492,8.8459,6.0727,0.0354,52.1307,2.3856
OilGas,BPCL_NS,HYBRID,62.0035,7.8742,5.5025,0.0315,50.142,2.1357
