Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
FMCG,HINDUNILVR_NS,CNN,1256.2481,35.4436,26.2736,0.0146,50.5682,1.084
FMCG,HINDUNILVR_NS,LSTM,1259.1471,35.4845,25.5809,0.0147,50.2841,1.0502
FMCG,HINDUNILVR_NS,HYBRID,1221.1203,34.9445,25.2239,0.0144,49.7159,1.0393
