Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Media,SUNTV_NS,CNN,356.5807,18.8833,14.3655,0.0316,48.4375,2.3159
Media,SUNTV_NS,LSTM,290.6489,17.0484,12.6114,0.0286,49.4318,2.1047
Media,SUNTV_NS,HYBRID,255.9237,15.9976,11.7928,0.0268,48.8636,1.9488
