Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
FMCG,TATACONSUM_NS,CNN,659.4257,25.6793,19.5974,0.0257,47.3011,1.8982
FMCG,TATACONSUM_NS,LSTM,532.7262,23.0809,17.0845,0.0231,49.5739,1.7113
FMCG,TATACONSUM_NS,HYBRID,443.1823,21.0519,15.4643,0.0211,48.1534,1.5335
